<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.04	00:00:00	1.09000	1.09003	1.08996	1.08997	145	0	8
2024.03.04	00:01:00	1.08997	1.08998	1.08991	1.08993	137	0	9
2024.03.04	00:02:00	1.08993	1.09006	1.08991	1.09005	116	0	8
2024.03.04	00:03:00	1.09005	1.09008	1.09002	1.09007	65	0	12
2024.03.04	00:04:00	1.09007	1.09017	1.08982	1.08987	64	0	8
2024.03.04	00:05:00	1.08987	1.08990	1.08980	1.08981	115	0	9
2024.03.04	00:06:00	1.08981	1.08983	1.08958	1.08966	34	0	11
2024.03.04	00:07:00	1.08966	1.08969	1.08957	1.08959	32	0	11
2024.03.04	00:08:00	1.08959	1.08967	1.08950	1.08955	144	0	10
2024.03.04	00:09:00	1.08955	1.08956	1.08938	1.08945	124	0	10
2024.03.04	00:10:00	1.08945	1.08955	1.08937	1.08938	155	0	10
2024.03.04	00:11:00	1.08938	1.08950	1.08927	1.08929	122	0	10
2024.03.04	00:12:00	1.08929	1.08930	1.08921	1.08925	95	0	9
2024.03.04	00:13:00	1.08925	1.08931	1.08921	1.08924	179	0	8
2024.03.04	00:14:00	1.08924	1.08933	1.08920	1.08925	97	0	11
2024.03.04	00:15:00	1.08925	1.08936	1.08918	1.08918	25	0	8
2024.03.04	00:16:00	1.08918	1.08933	1.08917	1.08931	87	0	12
2024.03.04	00:17:00	1.08931	1.08939	1.08923	1.08927	122	0	10
2024.03.04	00:18:00	1.08927	1.08939	1.08914	1.08922	98	0	9
2024.03.04	00:19:00	1.08922	1.08950	1.08918	1.08945	63	0	10
2024.03.04	00:20:00	1.08945	1.08954	1.08936	1.08951	28	0	9
2024.03.04	00:21:00	1.08951	1.08973	1.08949	1.08966	43	0	10
2024.03.04	00:22:00	1.08966	1.08976	1.08961	1.08972	105	0	9
2024.03.04	00:23:00	1.08972	1.08980	1.08969	1.08978	67	0	12
2024.03.04	00:24:00	1.08978	1.08986	1.08974	1.08979	9	0	9
2024.03.04	00:25:00	1.08979	1.08984	1.08971	1.08974	152	0	10
2024.03.04	00:26:00	1.08974	1.08995	1.08966	1.08992	21	0	10
2024.03.04	00:27:00	1.08992	1.09000	1.08984	1.08990	151	0	10
2024.03.04	00:28:00	1.08990	1.08994	1.08974	1.08980	56	0	8
2024.03.04	00:29:00	1.08980	1.08987	1.08979	1.08981	36	0	10
2024.03.04	00:30:00	1.08981	1.08983	1.08970	1.08977	101	0	11
2024.03.04	00:31:00	1.08977	1.08989	1.08969	1.08971	165	0	10
2024.03.04	00:32:00	1.08971	1.08980	1.08968	1.08976	39	0	8
