<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	00:00:00	1.10000	1.10004	1.09993	1.09997	36	0	12
2024.01.01	00:01:00	1.09997	1.10006	1.09984	1.09993	51	0	12
2024.01.01	00:02:00	1.09993	1.09997	1.09990	1.09994	30	0	12
2024.01.01	00:03:00	1.09994	1.10011	1.09981	1.09998	52	0	6
2024.01.01	00:04:00	1.09998	1.10018	1.09994	1.10014	35	0	12
2024.01.01	00:05:00	1.10014	1.10031	1.09995	1.10012	64	0	6
2024.01.01	00:06:00	1.10012	1.10013	1.10005	1.10006	23	0	12
2024.01.01	00:07:00	1.10006	1.10018	1.10001	1.10013	65	0	7
2024.01.01	00:08:00	1.10013	1.10031	1.10007	1.10025	42	0	6
2024.01.01	00:09:00	1.10025	1.10040	1.10015	1.10030	31	0	9
2024.01.01	00:10:00	1.10030	1.10038	1.10017	1.10025	32	0	9
2024.01.01	00:11:00	1.10025	1.10044	1.10021	1.10040	48	0	7
2024.01.01	00:12:00	1.10040	1.10046	1.10031	1.10037	23	0	8
2024.01.01	00:13:00	1.10037	1.10038	1.10029	1.10030	27	0	6
2024.01.01	00:14:00	1.10030	1.10045	1.10024	1.10039	40	0	9
2024.01.01	00:15:00	1.10039	1.10057	1.10014	1.10032	58	0	6
2024.01.01	00:16:00	1.10032	1.10043	1.10022	1.10033	49	0	8
2024.01.01	00:17:00	1.10033	1.10042	1.10017	1.10026	28	0	9
2024.01.01	00:18:00	1.10026	1.10032	1.10025	1.10031	37	0	6
2024.01.01	00:19:00	1.10031	1.10061	1.10019	1.10049	48	0	12
2024.01.01	00:20:00	1.10049	1.10072	1.10048	1.10071	36	0	8
2024.01.01	00:21:00	1.10071	1.10092	1.10062	1.10083	42	0	7
2024.01.01	00:22:00	1.10083	1.10089	1.10066	1.10072	42	0	7
2024.01.01	00:23:00	1.10072	1.10096	1.10058	1.10082	60	0	9
2024.01.01	00:24:00	1.10082	1.10097	1.10078	1.10093	10	0	9
2024.01.01	00:25:00	1.10093	1.10097	1.10081	1.10085	30	0	9
2024.01.01	00:26:00	1.10085	1.10104	1.10084	1.10103	32	0	6
2024.01.01	00:27:00	1.10103	1.10112	1.10100	1.10109	49	0	7
2024.01.01	00:28:00	1.10109	1.10133	1.10108	1.10132	45	0	7
2024.01.01	00:29:00	1.10132	1.10148	1.10125	1.10141	47	0	12
2024.01.01	00:30:00	1.10141	1.10145	1.10134	1.10138	63	0	6
2024.01.01	00:31:00	1.10138	1.10154	1.10099	1.10115	48	0	12
2024.01.01	00:32:00	1.10115	1.10120	1.10101	1.10106	56	0	6
2024.01.01	00:33:00	1.10106	1.10124	1.10098	1.10116	80	0	9
2024.01.01	00:34:00	1.10116	1.10128	1.10110	1.10122	40	0	7
2024.01.01	00:35:00	1.10122	1.10141	1.10103	1.10122	31	0	12
2024.01.01	00:36:00	1.10122	1.10149	1.10119	1.10146	33	0	8
2024.01.01	00:37:00	1.10146	1.10156	1.10132	1.10142	34	0	9
2024.01.01	00:38:00	1.10142	1.10170	1.10131	1.10159	56	0	9
2024.01.01	00:39:00	1.10159	1.10161	1.10156	1.10158	47	0	8
2024.01.01	00:40:00	1.10158	1.10167	1.10148	1.10157	33	0	7
2024.01.01	00:41:00	1.10157	1.10166	1.10134	1.10143	34	0	7
2024.01.01	00:42:00	1.10143	1.10159	1.10117	1.10133	40	0	6
